ethanol__heptane,1664,,,,,,,,,,,,,
"2-methoxyethanol__1,3-dioxolane",22,,,,,,,,,,,,,
"2-propanol__1,4-dimethylbenzene",22,,,,,,,,,,,,,
"1,3-dimethylbenzene__pentylcarbinol",22,,,,,,,,,,,,,
"ethane, 1,1'-oxybis-__pentan-1-ol",22,,,,,,,,,,,,,
"2-butoxyethanol__1,3-dioxolane",22,,,,,,,,,,,,,
1-pentanol__1-nonanol,22,,,,,,,,,,,,,
"pentan-1-ol__1,3-dioxolane",22,,,,,,,,,,,,,
benzene__ethylbenzene,22,,,,,,,,,,,,,
"1,2-dimethylbenzene__pentylcarbinol",22,,,,,,,,,,,,,
1-propanol__1-nonanol,22,,,,,,,,,,,,,
hexane__methyl tert-butyl ether,21,,,,,,,,,,,,,
"water__propanol, oxybis-",21,,,,,,,,,,,,,
methanol__tetrahydrofuran,21,,,,,,,,,,,,,
tetramethylene oxide__dibutyl ether,21,,,,,,,,,,,,,
n-decane__2-heptanol,21,,,,,,,,,,,,,
2-octanol__n-decane,21,,,,,,,,,,,,,
n-decane__2-hexanol,21,,,,,,,,,,,,,
isopropyl ether__toluene,21,,,,,,,,,,,,,
"2,3-dimethylbutane__ether, dipropyl",20,,,,,,,,,,,,,
"ethanol__1,3-benzenediol",20,,,,,,,,,,,,,
3-pentanol__water,20,,,,,,,,,,,,,
dipropyl ether__dibutyl ether,20,,,,,,,,,,,,,
"butane, 2,2-dimethyl-__butyl oxide",20,,,,,,,,,,,,,
methanol__dibutyl ether,20,,,,,,,,,,,,,
tetramethylene oxide__dipropyl ether,20,,,,,,,,,,,,,
toluene__pentane,20,,,,,,,,,,,,,
1-pentanol__tetrahydropyran,20,,,,,,,,,,,,,
"2,3-dimethylbutane__butyl oxide",20,,,,,,,,,,,,,
1-propanol__octane,20,,,,,,,,,,,,,
"2-propanol__1,3-dimethylbenzene",20,,,,,,,,,,,,,
1-pentanol__2-ethyl-1-hexanol,20,,,,,,,,,,,,,
ethanol__ethylene glycol,20,,,,,,,,,,,,,
"1,4-dimethylbenzene__isopropyl ether",19,,,,,,,,,,,,,
"butane, 2,2-dimethyl-__ether, dipropyl",19,,,,,,,,,,,,,
"2-methyl-2-propanol__1,2-dimethylbenzene",19,,,,,,,,,,,,,
"octane__1,4-dioxane",19,,,,,,,,,,,,,
"2-methyl-2-propanol__1,3-dimethylbenzene",19,,,,,,,,,,,,,
2-methyl-1-propanol__3-methyl-1-butanol,19,,,,,,,,,,,,,
2-methyltetrahydrofuran__methyl tert-butyl ether,19,,,,,,,,,,,,,
1-propanol__tert-butyl ethyl ether,19,,,,,,,,,,,,,
"2-methyl-2-propanol__1,2,4-trimethylbenzene",19,,,,,,,,,,,,,
1-pentanol__decane,19,,,,,,,,,,,,,
"1,2-dimethylbenzene__isopropyl ether",19,,,,,,,,,,,,,
methanol__methoxymethane,19,,,,,,,,,,,,,
"2-methyl-1-propanol__1,3,5-trimethylbenzene",19,,,,,,,,,,,,,
cyclohexane__5-oxanonane,19,,,,,,,,,,,,,
"1,2,4-trimethylbenzene__tetrahydrofuran",19,,,,,,,,,,,,,
1-methoxy-2-propanol__cyclohexane,19,,,,,,,,,,,,,
"1,1-diethoxyethane__cyclohexane",19,,,,,,,,,,,,,
benzene__1-methoxy-2-propanol,19,,,,,,,,,,,,,
"cyclohexane__butane, 2,2-dimethoxy-",19,,,,,,,,,,,,,
3-methylpentane__isopropyl ether,19,,,,,,,,,,,,,
tetrahydrofuran__methyl tert-butyl ether,19,,,,,,,,,,,,,
epoxypropane__2-methylpentane,19,,,,,,,,,,,,,
cyclohexane__dibutyl ether,19,,,,,,,,,,,,,
1-pentanol__2-methyl-1-propanol,19,,,,,,,,,,,,,
2-methylphenol__decane,19,,,,,,,,,,,,,
"2-methyl-2-propanol__1,4-dimethylbenzene",19,,,,,,,,,,,,,
2-methylphenol__nonane,19,,,,,,,,,,,,,
"2-methyl-2-propanol__1,3,5-trimethylbenzene",19,,,,,,,,,,,,,
"1,3,5-trimethylbenzene__tetrahydrofuran",19,,,,,,,,,,,,,
ethanol__tetrahydropyran,19,,,,,,,,,,,,,
"1-butanol__1,2,4-trimethylbenzene",19,,,,,,,,,,,,,
1-propanol__methoxymethane,19,,,,,,,,,,,,,
propane__methoxymethane,19,,,,,,,,,,,,,
"2-methyl-1-propanol__1,2,4-trimethylbenzene",19,,,,,,,,,,,,,
ethanol__methoxymethane,19,,,,,,,,,,,,,
"1-butanol__1,3,5-trimethylbenzene",19,,,,,,,,,,,,,
"benzene__1,1-diethoxyethane",19,,,,,,,,,,,,,
1-butanol__methoxymethane,19,,,,,,,,,,,,,
2-methyl-1-propanol__2-methyl-1-butanol,19,,,,,,,,,,,,,
1-pentanol__nonane,18,,,,,,,,,,,,,
2-methyl-2-butanol__ethyl tert-pentyl ether,18,,,,,,,,,,,,,
1-butanol__ethyl tert-pentyl ether,18,,,,,,,,,,,,,
ethane__toluene,18,,,,,,,,,,,,,
3-methyl-2-butanol__water,18,,,,,,,,,,,,,
butan-2-ol__ethyl tert-pentyl ether,18,,,,,,,,,,,,,
isopropyl ether__octane,18,,,,,,,,,,,,,
tetrahydropyran__1-nonanol,18,,,,,,,,,,,,,
1-pentanol__hexane,18,,,,,,,,,,,,,
isopropyl ether__heptane,18,,,,,,,,,,,,,
"benzene__butane, 2,2-dimethoxy-",18,,,,,,,,,,,,,
"n-hexane__2,5-dimethylfuran",18,,,,,,,,,,,,,
isopropyl ether__hexane,18,,,,,,,,,,,,,
"benzyl alcohol__3,6-dioxa-1-octanol",17,,,,,,,,,,,,,
"benzyl alcohol__1,2-dimethoxyethane",17,,,,,,,,,,,,,
"1,2-propanediol__2-phenylethanol",17,,,,,,,,,,,,,
diethylene glycol__water,17,,,,,,,,,,,,,
"2-phenylethanol__1,2-ethanediol",17,,,,,,,,,,,,,
benzyl alcohol__dibutyl ether,17,,,,,,,,,,,,,
1-propanol__decane,17,,,,,,,,,,,,,
2-phenylethanol__triethylene glycol,17,,,,,,,,,,,,,
2-methylphenol__toluene,17,,,,,,,,,,,,,
"benzyl alcohol__ethanol, 2-ethoxy-",17,,,,,,,,,,,,,
"benzyl alcohol__3,6-dioxaoctane",17,,,,,,,,,,,,,
2-phenylethanol__bis(2-hydroxyethyl) ether,17,,,,,,,,,,,,,
2-methyl-1-propanol__1-methyl-1-(1-methylethoxy)ethane,17,,,,,,,,,,,,,
decahydronaphthalene__isopropyl ether,16,,,,,,,,,,,,,
isopropyl ether__cyclohexane,16,,,,,,,,,,,,,
benzene__isopropyl ether,16,,,,,,,,,,,,,
isopropyl ether__tetralin,16,,,,,,,,,,,,,
tert-pentyl alcohol__water,16,,,,,,,,,,,,,
methanol__dioxane,16,,,,,,,,,,,,,
3-methylphenol__water,15,,,,,,,,,,,,,
1-propanol__nonane,15,,,,,,,,,,,,,
methane__pentane,15,,,,,,,,,,,,,
butan-2-ol__cyclohexyl alcohol,15,,,,,,,,,,,,,
ethanol__nonane,15,,,,,,,,,,,,,
methane__ethane,15,,,,,,,,,,,,,
ethanol__decane,15,,,,,,,,,,,,,
"1,2-dimethylbenzene__dibutyl ether",15,,,,,,,,,,,,,
"1-butanol, 3-methyl-__water",15,,,,,,,,,,,,,
n-octane__n-heptane,14,,,,,,,,,,,,,
benzene__2-methyl-1-propanol,14,,,,,,,,,,,,,
ethylene glycol__water,13,,,,,,,,,,,,,
pentan-2-ol__water,13,,,,,,,,,,,,,
tetrahydropyran__water,13,,,,,,,,,,,,,
"1,3,5-trioxacyclohexane__water",13,,,,,,,,,,,,,
dioxane__water,13,,,,,,,,,,,,,
1-butanol__1-methyl-1-(1-methylethoxy)ethane,13,,,,,,,,,,,,,
1-octanol__2-octanol,13,,,,,,,,,,,,,
ethanol__oxane,13,,,,,,,,,,,,,
n-butyl alcohol__cyclohexyl alcohol,13,,,,,,,,,,,,,
anisole__phenol,13,,,,,,,,,,,,,
1-methyl-1-(1-methylethoxy)ethane__heptane,12,,,,,,,,,,,,,
ethanol__diethylene glycol,12,,,,,,,,,,,,,
ethanol__triethylene glycol,12,,,,,,,,,,,,,
methylcyclohexane__cyclohexane,12,,,,,,,,,,,,,
2-methylphenol__octane,12,,,,,,,,,,,,,
1-butanol__methane,12,,,,,,,,,,,,,
3-methylphenol__toluene,12,,,,,,,,,,,,,
2-propanol__methane,12,,,,,,,,,,,,,
4-methylphenol__toluene,12,,,,,,,,,,,,,
ethanol__dibutyl ether,11,,,,,,,,,,,,,
tetrahydropyran__1-heptanol,11,,,,,,,,,,,,,
methanol__.alpha.-toluenol,11,,,,,,,,,,,,,
tetrahydropyran__1-octanol,11,,,,,,,,,,,,,
toluene__dibutyl ether,11,,,,,,,,,,,,,
tetrahydropyran__1-hexanol,11,,,,,,,,,,,,,
tetrahydrofuran__1-octanol,11,,,,,,,,,,,,,
ethanol__tetrahydrofuran,11,,,,,,,,,,,,,
1-butanol__tetrahydrofuran,11,,,,,,,,,,,,,
3-methyl-1-butanol__water,11,,,,,,,,,,,,,
3-methylphenol__nonane,11,,,,,,,,,,,,,
"1,2-propanediol__methanol",11,,,,,,,,,,,,,
p-xylene__2-methoxyethanol,11,,,,,,,,,,,,,
"dibutyl ether__2,2,4-trimethylpentane",11,,,,,,,,,,,,,
tetrahydrofuran__nonane,11,,,,,,,,,,,,,
benzene__dibutyl ether,11,,,,,,,,,,,,,
methanol__anisol,11,,,,,,,,,,,,,
"toluene__1,4-dioxane",11,,,,,,,,,,,,,
propyl alcohol__cyclohexyl alcohol,11,,,,,,,,,,,,,
1-hexanol__cyclopentane,11,,,,,,,,,,,,,
phenol__1-octanol,11,,,,,,,,,,,,,
naphthalene__heptane,10,,,,,,,,,,,,,
toluene__phenol,10,,,,,,,,,,,,,
naphthalene__cyclohexane,10,,,,,,,,,,,,,
2-propanol__ethane,10,,,,,,,,,,,,,
methanol__tert-pentyl alcohol,10,,,,,,,,,,,,,
propan-1-ol__tert-pentyl alcohol,10,,,,,,,,,,,,,
1-nonanol__cyclopentane,10,,,,,,,,,,,,,
butan-1-ol__tert-pentyl alcohol,10,,,,,,,,,,,,,
"1,2-propanediol__1-propanol",10,,,,,,,,,,,,,
pentane__cyclohexane,10,,,,,,,,,,,,,
methanol__cyclohexyl alcohol,10,,,,,,,,,,,,,
pentan-1-ol__tert-pentyl alcohol,10,,,,,,,,,,,,,
"1,2-propanediol__ethanol",10,,,,,,,,,,,,,
"1,2-propanediol__1-butanol",10,,,,,,,,,,,,,
1-octanol__cyclopentane,10,,,,,,,,,,,,,
toluene__decane,10,,,,,,,,,,,,,
"2-ethyl-1-hexanol__2,3-butanediol",10,,,,,,,,,,,,,
ethanol__tert-pentyl alcohol,10,,,,,,,,,,,,,
ethanol__.alpha.-toluenol,10,,,,,,,,,,,,,
"1,2-propanediol__1-pentanol",10,,,,,,,,,,,,,
cyclohexane__1-heptanol,10,,,,,,,,,,,,,
ethanol__cyclohexyl alcohol,10,,,,,,,,,,,,,
"1,2-propanediol__1-hexanol",10,,,,,,,,,,,,,
tetrahydrofuran__1-hexanol,9,,,,,,,,,,,,,
cyclohexane__1-nonanol,9,,,,,,,,,,,,,
tetrahydrofuran__1-nonanol,9,,,,,,,,,,,,,
tetrahydrofuran__1-heptanol,9,,,,,,,,,,,,,
.alpha.-toluenol__pentylcarbinol,9,,,,,,,,,,,,,
2-propanol__cyclohexyl alcohol,9,,,,,,,,,,,,,
"1,4-dioxane__tetrahydropyran",9,,,,,,,,,,,,,
butan-1-ol__.alpha.-toluenol,9,,,,,,,,,,,,,
"2-ethyl-1-hexanol__butane, 1,4-dihydroxy-",9,,,,,,,,,,,,,
1-pentanol__water,9,,,,,,,,,,,,,
1-propanol__tetrahydropyran,9,,,,,,,,,,,,,
isooctane__methyl tert-butyl ether,9,,,,,,,,,,,,,
(RS)-2-butanol__water,9,,,,,,,,,,,,,
tetrahydropyran__decane,9,,,,,,,,,,,,,
1-butanol__ethane,9,,,,,,,,,,,,,
propan-1-ol__.alpha.-toluenol,9,,,,,,,,,,,,,
furan__water,9,,,,,,,,,,,,,
pentan-1-ol__.alpha.-toluenol,9,,,,,,,,,,,,,
cyclohexane__1-octanol,9,,,,,,,,,,,,,
triethylene glycol__water,9,,,,,,,,,,,,,
ethane__pentane,9,,,,,,,,,,,,,
"3-oxa-1,5-pentanediol__3,6-dioxa-1,8-octanediol",8,,,,,,,,,,,,,
2-methylphenol__water,8,,,,,,,,,,,,,
"1,2-ethanediol__3,6-dioxa-1,8-octanediol",8,,,,,,,,,,,,,
isopropyl ether__isooctane,8,,,,,,,,,,,,,
"1,2-ethanediol__3-oxa-1,5-pentanediol",8,,,,,,,,,,,,,
ethylene glycol__bis(2-hydroxyethyl) ether,8,,,,,,,,,,,,,
2-methyl-2-butanol__water,8,,,,,,,,,,,,,
2-pentanol__water,8,,,,,,,,,,,,,
3-methylphenol__octane,7,,,,,,,,,,,,,
methane__butane,6,,,,,,,,,,,,,
phenol__water,6,,,,,,,,,,,,,
4-methylphenol__water,6,,,,,,,,,,,,,
methanol__2-methoxyethanol,5,,,,,,,,,,,,,
"1,2-dimethylbenzene__methoxymethane",5,,,,,,,,,,,,,
"1,2-dimethylbenzene__butane",5,,,,,,,,,,,,,
2-methylpropane__toluene,5,,,,,,,,,,,,,
"octane__1,3-propanediol",5,,,,,,,,,,,,,
"1,3-dimethylbenzene__methoxymethane",5,,,,,,,,,,,,,
butane__toluene,5,,,,,,,,,,,,,
"2-methylpropane__1,3-dimethylbenzene",5,,,,,,,,,,,,,
"1,4-dimethylbenzene__butane",5,,,,,,,,,,,,,
"1,4-dimethylbenzene__methoxymethane",5,,,,,,,,,,,,,
toluene__methoxymethane,5,,,,,,,,,,,,,
"bis(2-hydroxyethyl) ether__3,6-dioxa-1,8-octanediol",5,,,,,,,,,,,,,
"propane__1,4-dimethylbenzene",5,,,,,,,,,,,,,
"ethylene glycol__3,6-dioxa-1,8-octanediol",5,,,,,,,,,,,,,
"propane__1,3-dimethylbenzene",5,,,,,,,,,,,,,
"butane__1,3-dimethylbenzene",5,,,,,,,,,,,,,
"2-methylpropane__1,2-dimethylbenzene",5,,,,,,,,,,,,,
"propane__1,2-dimethylbenzene",5,,,,,,,,,,,,,
"tetrahydrofuran__1,4-dioxane",5,,,,,,,,,,,,,
propane__toluene,5,,,,,,,,,,,,,
"decane__1,3-propanediol",5,,,,,,,,,,,,,
"2-methylpropane__1,4-dimethylbenzene",5,,,,,,,,,,,,,
tert-amyl methyl ether__water,4,,,,,,,,,,,,,
"butane, 2-ethoxy-2-methyl-__water",4,,,,,,,,,,,,,
tert-butyl ethyl ether__water,4,,,,,,,,,,,,,
benzene__propane,4,,,,,,,,,,,,,
benzene__methoxymethane,4,,,,,,,,,,,,,
benzene__2-methylpropane,4,,,,,,,,,,,,,
benzene__butane,4,,,,,,,,,,,,,
toluene__water,4,,,,,,,,,,,,,
methyl tert-butyl ether__water,4,,,,,,,,,,,,,
benzene__diethylene glycol,3,,,,,,,,,,,,,
n-pentane__diethylene glycol,3,,,,,,,,,,,,,
2-propanol__triethylene glycol,3,,,,,,,,,,,,,
methanol__diethylene glycol,3,,,,,,,,,,,,,
triethylene glycol__cyclopentane,3,,,,,,,,,,,,,
ethylbenzene__diethylene glycol,3,,,,,,,,,,,,,
methanol__ethane,3,,,,,,,,,,,,,
diethylene glycol__cycloheptane,3,,,,,,,,,,,,,
"1,2-ethanediol__decane",3,,,,,,,,,,,,,
1-propanol__triethylene glycol,3,,,,,,,,,,,,,
triethylene glycol__n-heptane,3,,,,,,,,,,,,,
2-propanol__diethylene glycol,3,,,,,,,,,,,,,
"hexane__1,3-propanediol",3,,,,,,,,,,,,,
n-hexane__diethylene glycol,3,,,,,,,,,,,,,
diethylene glycol__cyclopentane,3,,,,,,,,,,,,,
toluene__diethylene glycol,3,,,,,,,,,,,,,
cyclohexane__triethylene glycol,3,,,,,,,,,,,,,
diethylene glycol__n-heptane,3,,,,,,,,,,,,,
triethylene glycol__cycloheptane,3,,,,,,,,,,,,,
diethylene glycol__n-octane,3,,,,,,,,,,,,,
n-hexane__triethylene glycol,3,,,,,,,,,,,,,
ethylbenzene__triethylene glycol,3,,,,,,,,,,,,,
toluene__triethylene glycol,3,,,,,,,,,,,,,
n-octane__triethylene glycol,3,,,,,,,,,,,,,
benzene__triethylene glycol,3,,,,,,,,,,,,,
diethylene glycol__n-nonane,3,,,,,,,,,,,,,
n-pentane__triethylene glycol,3,,,,,,,,,,,,,
"1,2-ethanediol__hexane",3,,,,,,,,,,,,,
n-nonane__triethylene glycol,3,,,,,,,,,,,,,
diethylene glycol__cyclooctane,3,,,,,,,,,,,,,
triethylene glycol__cyclooctane,3,,,,,,,,,,,,,
cyclohexane__diethylene glycol,3,,,,,,,,,,,,,
1-propanol__diethylene glycol,3,,,,,,,,,,,,,
methanol__triethylene glycol,2,,,,,,,,,,,,,
propylene glycol__naphthalene,1,,,,,,,,,,,,,
methylcyclohexane__methyl cellosolve,1,,,,,,,,,,,,,
o-xylene__methyl cellosolve,1,,,,,,,,,,,,,
propylene glycol__ethylbenzene,1,,,,,,,,,,,,,
propylene glycol__m-xylene,1,,,,,,,,,,,,,
cyclopentane__cycloheptane,1,,,,,,,,,,,,,
propylene glycol__n-octane,1,,,,,,,,,,,,,
toluene__methyl cellosolve,1,,,,,,,,,,,,,
methyl cellosolve__n-octane,1,,,,,,,,,,,,,
m-xylene__methyl cellosolve,1,,,,,,,,,,,,,
methyl cellosolve__cyclooctane,1,,,,,,,,,,,,,
3-methylphenol__decane,1,,,,,,,,,,,,,
p-cymene__methyl cellosolve,1,,,,,,,,,,,,,
methyl cellosolve__n-nonane,1,,,,,,,,,,,,,
propylene glycol__benzene,1,,,,,,,,,,,,,
benzene__methyl cellosolve,1,,,,,,,,,,,,,
methylcyclopentane__methyl cellosolve,1,,,,,,,,,,,,,
propylene glycol__n-hexane,1,,,,,,,,,,,,,
ethylbenzene__methyl cellosolve,1,,,,,,,,,,,,,
glycidol__water,1,,,,,,,,,,,,,
propylene glycol__p-xylene,1,,,,,,,,,,,,,
naphthalene__methyl cellosolve,1,,,,,,,,,,,,,
methyl cellosolve__n-hexane,1,,,,,,,,,,,,,
propylene glycol__o-xylene,1,,,,,,,,,,,,,
methyl cellosolve__n-decane,1,,,,,,,,,,,,,
methyl cellosolve__cyclohexane,1,,,,,,,,,,,,,
p-xylene__methyl cellosolve,1,,,,,,,,,,,,,
methyl cellosolve__n-heptane,1,,,,,,,,,,,,,
propylene glycol__n-heptane,1,,,,,,,,,,,,,
propylene glycol__toluene,1,,,,,,,,,,,,,
